domain_name,silo,role,priority,suggested_target
aaacbdhempflower.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
adcopysi.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
ageverifysi.com,Compliance: Age Verification,canonical,P0,https://ageverifysi.com
aicrisiscoach.com,Advisory: AI Crisis/Consult,support/redirect,P1,https://aicrisisconsult.com
aicrisisconsult.com,Advisory: AI Crisis/Consult,canonical,P0,https://aicrisisconsult.com
airbnbwaterfall.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
autocodesi.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
bizflowsi.com,B2B: Enablement (SOPs/Dev/Docs),canonical,P0,https://bizflowsi.com
californiaenergyai.com,Vertical: Energy,support,P2,
camedicalai.com,Vertical: Healthcare/Clinical,support,P2,
cannabiscookiestexas.com,B2C Retail: Edibles/Cookies,support,P1,https://reggieanddro.com/cookies/texas
cannabisretailai.com,B2B: Hemp Retail Ops (POS/Email/Leafly),support/redirect,P1,
cannabisretailsi.com,B2B: Hemp Retail Ops (POS/Email/Leafly),support/redirect,P1,
clinicaldataai.com,Vertical: Healthcare/Clinical,support,P2,
clinicaldatasi.com,Vertical: Healthcare/Clinical,support,P2,
codenexusai.com,B2B: Enablement (SOPs/Dev/Docs),support,P1,https://codenexussi.com
codenexussi.com,B2B: Enablement (SOPs/Dev/Docs),support,P1,https://codenexussi.com
contentenginesi.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
devflowsi.com,B2B: Enablement (SOPs/Dev/Docs),support,P1,https://devflowsi.com
exoticcanopysolutions.com,Misc/Other,support,P3,
exoticcbdhempflower.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
firecbdbuds.com,Misc/Other,support,P3,
freelegalweedsanantonio.com,B2C Retail: Reggie & Dro (Local SEO/Offers),redirect/alias,P1,https://reggieanddro.com/san-antonio/free-hemp-offer
freethcaflower.com,B2C Retail: THCa & Promo Landers,support,P1,https://reggieanddro.com/thca/free-sample
freeweedsanantonio.com,B2C Retail: Reggie & Dro (Local SEO/Offers),redirect/alias,P1,https://reggieanddro.com/san-antonio/free-hemp-offer
freeweedtexas.com,B2C Retail: THCa & Promo Landers,support,P1,
getlooseyoga.com,Misc/Other,support,P3,
hempress3.com,Misc/Other,support,P3,
hempretailai.com,B2B: Hemp Retail Ops (POS/Email/Leafly),canonical,P0,https://hempretailai.com
hempretailsi.com,B2B: Hemp Retail Ops (POS/Email/Leafly),support/redirect,P1,https://hempretailai.com
herbitrage.com,Misc/Other,support,P3,
highfromhemp.com,Misc/Other,support,P3,
highnooncartoon.com,Misc/Other,support,P3,
jesseniesen.com,Misc/Other,support,P3,
livhana.ai,Cross-Cutting: Tools/Tech/Brand,support,P3,
loudcbdbuds.com,Misc/Other,support,P3,
loudcbdflower.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
oneplantsolution.com,Misc/Other,support,P3,
reggieanddro.com,B2C Retail: Reggie & Dro (Local SEO/Offers),canonical,P0,
reggieanddroalice.com,B2C Retail: Reggie & Dro (Local SEO/Offers),redirect/alias,P1,https://reggieanddro.com/alice
reggieanddrocannabisstore.com,B2C Retail: Reggie & Dro (Local SEO/Offers),redirect/alias,P1,https://reggieanddro.com/store
reggieanddrodispensary.com,B2C Retail: Reggie & Dro (Local SEO/Offers),redirect/alias,P1,https://reggieanddro.com/dispensary
reggieanddrosanantonio.com,B2C Retail: Reggie & Dro (Local SEO/Offers),redirect/alias,P1,https://reggieanddro.com/san-antonio
reggieanddrosanantoniotx.com,B2C Retail: Reggie & Dro (Local SEO/Offers),redirect/alias,P1,https://reggieanddro.com/san-antonio
reggieanddrosocialclub.com,B2C Retail: Reggie & Dro (Local SEO/Offers),redirect/alias,P1,
reggieanddrostoneoak.com,B2C Retail: Reggie & Dro (Local SEO/Offers),redirect/alias,P1,https://reggieanddro.com/stone-oak
reggieanddrotexas.com,B2C Retail: Reggie & Dro (Local SEO/Offers),redirect/alias,P1,
retailopssi.com,B2B: Hemp Retail Ops (POS/Email/Leafly),support/redirect,P1,
shipcodeai.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
shipcodesi.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
siartisan.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
sinsamillahemp.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
smokingyoga.com,Misc/Other,support,P3,
strategysi.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
terpwerk.com,Misc/Other,support,P3,
texascannabiscookies.com,B2C Retail: Edibles/Cookies,support,P1,https://reggieanddro.com/cookies/texas
texascoa.com,Misc/Other,support,P3,
texasenergyai.com,Vertical: Energy,support,P2,
thcacannabisdispensary.com,B2C Retail: THCa & Promo Landers,support,P1,https://reggieanddro.com/dispensary
thcaflowerstx.com,B2C Retail: THCa & Promo Landers,support,P1,https://reggieanddro.com/thca-flower
thcaflowertx.com,B2C Retail: THCa & Promo Landers,support,P1,https://reggieanddro.com/thca-flower
thcasanantonio.com,B2C Retail: Reggie & Dro (Local SEO/Offers),redirect/alias,P1,https://reggieanddro.com/san-antonio/thca-flower
tier1treecare.com,Misc/Other,support,P3,
tokinyoga.com,Misc/Other,support,P3,
txmedicalai.com,Vertical: Healthcare/Clinical,support,P2,
txsupplychain.com,Vertical: Supply Chain,support,P2,
vibecodeliv.com,Cross-Cutting: Tools/Tech/Brand,support,P3,
wealthtechsi.com,Vertical: Finance/Wealth,support,P2,
xn--reggieanddr-v9b.com,Misc/Other,support,P3,
